,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
A6+A17+A33+A36,"27,358","29,228","31,906","34,726","38,543","41,958","46,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total National Health Expenditures,"27,359","29,229","31,907","34,727","38,544","41,957","46,254","51,780","58,755","66,215","74,853","83,240","93,141","103,365","117,157","133,585","153,011","173,979","195,528","221,658","255,784","296,739","334,699","368,986","406,512","444,608","476,891","519,116","581,697","647,465","724,277","791,524","857,907","921,496","972,698","1,027,448","1,081,876","1,142,705","1,209,094","1,286,685","1,377,972","1,494,559","1,638,146","1,778,327","1,905,725","2,034,816","2,167,163","2,303,947","2,414,143","2,505,829","2,604,131","2,705,302","2,817,317","2,919,137"
     Out of pocket,"13,051","13,422","14,299","15,361","16,981","18,262","18,647","18,587","20,628","22,657","25,015","26,380","28,724","31,716","34,467","37,372","40,767","44,996","48,169","52,473","58,396","65,629","72,739","78,924","86,824","95,977","104,034","110,161","120,828","127,313","138,643","141,689","144,233","145,269","143,375","146,228","151,991","163,487","179,081","190,108","201,475","208,766","221,851","238,202","251,669","267,249","277,375","293,714","300,870","300,914","306,230","317,310","328,813","339,422"
     Health Insurance,"7,464","8,187","8,935","9,827","10,900","11,951","15,600","21,039","24,302","27,490","31,688","36,644","42,519","47,918","55,848","66,213","78,938","92,960","106,407","122,553","142,155","167,534","190,437","212,507","237,236","259,152","274,647","300,069","338,359","387,493","439,458","492,819","543,955","594,305","638,120","683,057","724,472","761,561","795,669","848,597","920,999","1,015,971","1,122,344","1,222,768","1,322,387","1,416,679","1,520,769","1,611,765","1,702,311","1,797,909","1,875,697","1,952,376","2,029,077","2,102,896"
          Private Health Insurance,"5,779","6,419","7,113","7,887","8,982","10,000","10,223","10,382","11,754","13,287","15,424","17,757","20,593","22,884","25,972","30,461","37,295","45,538","52,347","60,768","69,047","81,608","94,012","104,893","118,884","131,190","136,025","149,210","175,906","204,997","234,230","255,603","275,557","296,322","309,592","326,916","346,032","362,796","388,274","419,979","459,839","503,297","561,450","615,749","659,981","703,213","740,200","777,689","808,027","833,076","862,214","899,359","935,685","961,741"
          Medicare, -   , -   , -   , -   , -   , -   ,"1,842","4,924","6,218","7,045","7,672","8,443","9,325","10,730","13,428","16,336","19,694","22,891","26,668","30,922","37,387","44,769","52,351","59,559","66,207","71,829","76,829","83,081","88,965","101,137","110,182","120,617","135,996","149,965","167,670","184,393","198,750","210,376","209,420","213,173","224,829","247,686","265,381","282,699","311,158","339,800","403,731","432,837","467,066","499,723","519,899","544,678","566,629","585,701"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,"1,304","3,141","3,541","4,174","5,290","6,695","8,314","9,423","11,073","13,446","15,188","17,464","19,465","22,332","26,032","30,307","32,011","35,266","38,233","40,937","45,383","50,339","55,080","61,952","73,661","93,211","108,186","122,373","134,414","144,862","152,170","160,849","169,029","183,534","200,483","224,236","248,218","269,105","290,917","309,538","306,865","326,057","344,676","374,946","397,650","407,475","423,698","449,389"
                          Federal  , -   , -   , -   , -   , -   , -   ,632,"1,525","1,835","2,298","2,842","3,810","4,547","4,933","6,277","7,409","9,153","9,896","10,919","12,705","14,521","16,902","17,843","19,587","21,096","22,594","25,187","27,868","30,995","35,077","42,607","56,847","68,602","76,961","81,052","85,945","91,099","94,954","98,661","107,200","116,919","132,288","145,339","160,895","172,437","177,644","174,074","185,701","203,402","247,701","266,658","247,808","243,660","258,819"
                          State and Local, -   , -   , -   , -   , -   , -   ,672,"1,616","1,707","1,877","2,447","2,886","3,766","4,490","4,797","6,037","6,036","7,568","8,547","9,627","11,511","13,405","14,168","15,679","17,137","18,343","20,196","22,471","24,085","26,876","31,054","36,364","39,585","45,412","53,363","58,917","61,071","65,896","70,368","76,334","83,564","91,948","102,878","108,210","118,480","131,895","132,792","140,356","141,274","127,245","130,992","159,667","180,038","190,570"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,399,"1,723","3,012","4,167","5,485","6,296","7,167","7,566","8,366","9,117","10,210","11,106","11,541","11,988","12,624","13,493"
