year,state,city,code,name,measurement
2009,Texas,Austin,43803,Chloroform,0.019298
2009,Texas,Austin,45201,Benzene,1.988421
2009,Texas,Baytown,43803,Chloroform,0.035167
2009,Texas,Baytown,45201,Benzene,3.564
2009,Texas,Beaumont,43803,Chloroform,0.03
2009,Texas,Beaumont,45201,Benzene,2.311126
2009,Texas,Brownsville,43803,Chloroform,0.013729
2009,Texas,Brownsville,45201,Benzene,1.525424
2009,Texas,Channelview,43803,Chloroform,0.038793
2009,Texas,Channelview,45201,Benzene,4.882185
2009,Texas,Clute (corporate name for Clute City),43803,Chloroform,0.027049
2009,Texas,Clute (corporate name for Clute City),45201,Benzene,1.375082
2009,Texas,Conroe,43803,Chloroform,0.018833
2009,Texas,Conroe,45201,Benzene,1.497
2009,Texas,Corpus Christi,43803,Chloroform,0.0133596666666667
2009,Texas,Corpus Christi,45201,Benzene,4.80616566666667
2009,Texas,Corpus Christi,88103,Arsenic PM2.5 LC,0
2009,Texas,Corpus Christi,88128,Lead PM2.5 LC,0.004531
2009,Texas,Dallas,43803,Chloroform,0.0248
2009,Texas,Dallas,45201,Benzene,1.25998266666667
2009,Texas,Dallas,88103,Arsenic PM2.5 LC,0.0001325
2009,Texas,Dallas,88128,Lead PM2.5 LC,0.00244
2009,Texas,Deer Park,43803,Chloroform,0.036615
2009,Texas,Deer Park,45201,Benzene,3.346651
2009,Texas,Deer Park,88103,Arsenic PM2.5 LC,0.000627
2009,Texas,Deer Park,88128,Lead PM2.5 LC,0.000797
2009,Texas,Denton,43803,Chloroform,0.014918
2009,Texas,Denton,45201,Benzene,1.136066
2009,Texas,Diboll,43803,Chloroform,0.021
2009,Texas,Diboll,45201,Benzene,1.136
2009,Texas,El Paso,43803,Chloroform,0.0158973333333333
2009,Texas,El Paso,45201,Benzene,3.886552
2009,Texas,El Paso,88103,Arsenic PM2.5 LC,0.000263
2009,Texas,El Paso,88128,Lead PM2.5 LC,0.0043395
2009,Texas,Fort Worth,43803,Chloroform,0.017705
2009,Texas,Fort Worth,45201,Benzene,1.1727145
2009,Texas,Galena Park,43803,Chloroform,0.048958
2009,Texas,Galena Park,45201,Benzene,4.90625
2009,Texas,Galveston,43803,Chloroform,0.0170835
2009,Texas,Galveston,45201,Benzene,1.0745
2009,Texas,Grapevine,43803,Chloroform,0.018033
2009,Texas,Grapevine,45201,Benzene,1.037705
2009,Texas,Greenville,43803,Chloroform,0.015333
2009,Texas,Greenville,45201,Benzene,1.115
2009,Texas,Houston,43803,Chloroform,0.031977
2009,Texas,Houston,45201,Benzene,2.89331314285714
2009,Texas,Kaufman,43803,Chloroform,0.014833
2009,Texas,Kaufman,45201,Benzene,1.027
2009,Texas,La Porte,43803,Chloroform,0.032459
2009,Texas,La Porte,45201,Benzene,4.87377
2009,Texas,Laredo,43803,Chloroform,0.0147805
2009,Texas,Laredo,45201,Benzene,3.1466665
2009,Texas,Lubbock,88103,Arsenic PM2.5 LC,2.3e-05
2009,Texas,Lubbock,88128,Lead PM2.5 LC,0.001347
2009,Texas,Mercedes,43803,Chloroform,0.015818
2009,Texas,Mercedes,45201,Benzene,1.329818
2009,Texas,Midlothian,43803,Chloroform,0.014333
2009,Texas,Midlothian,45201,Benzene,0.937
2009,Texas,Midlothian,88103,Arsenic PM2.5 LC,0.000144
2009,Texas,Midlothian,88128,Lead PM2.5 LC,0.002458
2009,Texas,Mission,43803,Chloroform,0.017
2009,Texas,Mission,45201,Benzene,1.914
2009,Texas,Nederland,45201,Benzene,1.889996
2009,Texas,Odessa,45201,Benzene,1.542467
2009,Texas,Pasadena,43803,Chloroform,0.031148
2009,Texas,Pasadena,45201,Benzene,8.354754
